ticker,name,volume_ratio,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
004370,농심,3.88,20220704,285570.0,20220729,279939.0,20일선이탈,19,-1.97,False
053030,바이넥스,3.38,20220706,14829.6,20220729,14471.0,20일선이탈,17,-2.42,False
256840,한국비엔씨,4.23,20220706,8116.2,20220802,11227.5,20일선이탈,19,38.33,False
258830,세종메디칼,3.88,20220706,3622.23,20220809,5848.28,20일선이탈,24,61.46,False
145720,덴티움,11.73,20220810,94989.6,20220822,87724.2,20일선이탈,7,-7.65,False
081150,티플랙스,8.3,20220803,4979.94,20220830,4665.65,20일선이탈,18,-6.31,False
100130,동국S&C,29.05,20220801,7014.0,20220902,6776.42,20일선이탈,23,-3.39,False
011210,현대위아,4.85,20220831,75450.6,20220920,74251.2,20일선이탈,12,-1.59,False
285130,SK케미칼,9.04,20220905,105711.0,20220922,103293.0,20일선이탈,11,-2.29,False
322000,HD현대에너지솔루션,10.61,20220801,49699.2,20220922,69660.4,20일선이탈,35,40.16,False
192080,더블유게임즈,10.3,20220831,43186.2,20220926,41716.4,20일선이탈,16,-3.4,False
011200,HMM,2.62,20220928,19388.7,20220929,19461.0,20일선이탈,1,0.37,False
142760,모아라이프플러스,4.04,20220928,4964.91,20220929,4999.98,20일선이탈,1,0.71,False
015860,일진홀딩스,16.41,20220929,4488.96,20220930,4141.7,20일선이탈,1,-7.74,False
022100,포스코DX,2.96,20220928,6613.2,20220930,6097.78,20일선이탈,2,-7.79,False
065450,빅텍,3.52,20220930,5180.34,20221004,5369.24,20일선이탈,1,3.65,False
298380,에이비엘바이오,5.83,20220930,20591.1,20221004,20958.0,20일선이탈,1,1.78,False
194480,데브시스터즈,2.79,20220928,45190.2,20221013,41816.2,20일선이탈,9,-7.47,False
179290,엠아이텍,5.63,20221004,13376.7,20221014,12524.9,20일선이탈,7,-6.37,False
036540,SFA반도체,4.98,20221026,4799.58,20221031,4276.43,20일선이탈,3,-10.9,False
084370,유진테크,3.97,20221026,23246.4,20221031,21656.6,20일선이탈,3,-6.84,False
166090,하나머티리얼즈,3.79,20221026,33867.6,20221031,30538.8,20일선이탈,3,-9.83,False
213420,덕산네오룩스,4.36,20221026,38526.9,20221103,35628.6,20일선이탈,6,-7.52,False
002900,TYM,5.7,20221101,2489.97,20221118,2235.52,20일선이탈,13,-10.22,False
052690,한전기술,5.79,20221104,63226.2,20221129,60478.8,20일선이탈,17,-4.35,False
101490,에스앤에스텍,4.78,20221026,25450.8,20221129,27544.8,20일선이탈,24,8.23,False
298040,효성중공업,6.04,20221101,58717.2,20221208,77943.8,20일선이탈,27,32.74,False
000250,삼천당제약,27.74,20221130,45190.2,20221229,45658.5,20일선이탈,21,1.04,False
230240,에치에프알,9.28,20221212,36472.8,20230104,34979.9,20일선이탈,15,-4.09,False
267270,HD건설기계,4.95,20221121,57414.6,20230104,57385.0,20일선이탈,30,-0.05,False
251270,넷마블,22.78,20230103,55611.0,20230109,52095.6,20일선이탈,4,-6.32,False
078890,가온그룹,5.9,20230118,8176.32,20230216,8193.58,20일선이탈,19,0.21,False
291230,엔피,11.49,20230118,6613.2,20230217,6636.7,20일선이탈,20,0.36,False
272210,한화시스템,11.16,20230118,12825.6,20230221,13263.42,20일선이탈,22,3.41,False
323990,박셀바이오,8.81,20230222,36573.0,20230227,34580.7,20일선이탈,3,-5.45,False
054780,키이스트,12.42,20230220,11743.44,20230228,9830.3,20일선이탈,6,-16.29,False
192820,코스맥스,4.25,20221130,63025.8,20230228,77943.8,20일선이탈,60,23.67,False
171090,선익시스템,7.48,20230302,29258.4,20230314,24251.4,20일선이탈,8,-17.11,False
015750,성우하이텍,12.37,20230217,6322.62,20230315,6636.7,20일선이탈,17,4.97,False
000150,두산,10.51,20230228,99699.0,20230323,99201.2,20일선이탈,16,-0.5,False
383310,에코프로에이치엔,8.62,20230324,89178.0,20230405,73452.8,20일선이탈,8,-17.63,False
005950,이수화학,13.22,20230302,25500.9,20230414,46906.0,20일선이탈,31,83.94,False
328130,루닛,15.15,20230406,52404.6,20230427,50898.0,20일선이탈,15,-2.87,False
115160,휴맥스,22.63,20230428,4008.0,20230502,3642.7,20일선이탈,1,-9.11,False
047050,포스코인터내셔널,24.64,20230417,27504.9,20230510,26546.8,20일선이탈,15,-3.48,False
281740,레이크머티리얼즈,37.66,20230317,8066.1,20230515,14141.66,20일선이탈,39,75.32,False
010620,HD현대미포,3.93,20230523,77454.6,20230630,81836.0,20일선이탈,26,5.66,False
298050,HS효성첨단소재,3.93,20230523,459417.0,20230630,457583.0,20일선이탈,26,-0.4,False
101490,에스앤에스텍,3.94,20230317,35921.7,20230703,55588.6,20일선이탈,72,54.75,False
006220,제주은행,6.07,20230703,13567.08,20230704,13473.0,20일선이탈,1,-0.69,False
237880,클리오,6.06,20230710,21192.3,20230711,20159.6,20일선이탈,1,-4.87,False
168360,펨트론,12.39,20230703,17003.94,20230724,16147.64,20일선이탈,15,-5.04,False
001120,LX인터내셔널,9.74,20230725,40280.4,20230803,35379.1,20일선이탈,7,-12.17,False
007660,이수페타시스,9.85,20230523,11082.12,20230804,32884.1,20일선이탈,51,196.73,False
096530,씨젠,9.84,20230804,27003.9,20230809,21906.1,20일선이탈,3,-18.88,False
192650,드림텍,19.92,20230705,10270.5,20230817,11397.16,20일선이탈,30,10.97,False
241590,화승엔터프라이즈,4.86,20230807,8997.96,20230817,8073.82,20일선이탈,7,-10.27,False
008930,한미사이언스,15.0,20230810,40380.6,20230821,34830.2,20일선이탈,6,-13.75,False
105630,한세실업,5.28,20230807,19328.58,20230824,18922.08,20일선이탈,12,-2.1,False
096610,알에프세미,16.51,20230831,16893.72,20230908,11486.98,20일선이탈,6,-32.0,False
042000,카페24,28.81,20230831,14258.46,20230911,12974.0,20일선이탈,7,-9.01,False
363250,진시스템,7.71,20230831,28056.0,20230914,26746.4,20일선이탈,10,-4.67,False
027580,상보,9.98,20230831,2369.73,20230915,1789.41,20일선이탈,11,-24.49,False
089790,제이티,95.72,20230831,8426.82,20230921,8443.08,20일선이탈,15,0.19,False
036930,주성엔지니어링,13.73,20230915,31512.9,20230922,26247.4,20일선이탈,5,-16.71,False
085660,차바이오텍,15.42,20230912,22194.3,20230925,18762.4,20일선이탈,9,-15.46,False
402030,코난테크놀로지,9.85,20230922,77655.0,20230925,73153.4,20일선이탈,1,-5.8,False
402030,코난테크놀로지,3.1,20230927,74348.4,20231006,72654.4,20일선이탈,3,-2.28,False
068240,다원시스,56.08,20230922,17134.2,20231011,15169.6,20일선이탈,8,-11.47,False
028670,팬오션,8.68,20230918,4779.54,20231012,4471.04,20일선이탈,13,-6.45,False
069620,대웅제약,18.13,20231004,111823.2,20231019,106985.6,20일선이탈,10,-4.33,False
368770,파이버프로,11.48,20231025,3216.42,20231026,3148.69,20일선이탈,1,-2.11,False
123690,한국화장품,26.72,20231026,6653.28,20231027,6556.86,20일선이탈,1,-1.45,False
319400,현대무벡스,62.08,20231025,3171.33,20231027,2919.15,20일선이탈,2,-7.95,False
087010,펩트론,3.74,20231027,28106.1,20231030,28742.4,20일선이탈,1,2.26,False
067310,하나마이크론,3.43,20231025,28106.1,20231031,25948.0,20일선이탈,4,-7.68,False
082920,비츠로셀,3.06,20231031,17575.08,20231101,17015.9,20일선이탈,1,-3.18,False
105630,한세실업,9.0,20231101,23046.0,20231124,22205.5,20일선이탈,17,-3.65,False
182400,엔케이젠바이오텍코리아,16.89,20231030,12605.16,20231127,12983.98,20일선이탈,20,3.01,False
091990,셀트리온헬스케어,3.12,20231025,67134.0,20231130,70458.8,20일선이탈,26,4.95,False
222800,심텍,9.7,20231128,39879.6,20231206,36377.1,20일선이탈,6,-8.78,False
200710,에이디테크놀로지,4.68,20231127,28005.9,20231207,25449.0,20일선이탈,8,-9.13,False
006650,대한유화,5.75,20231031,157915.2,20231212,158183.0,20일선이탈,30,0.17,False
222080,SFA넥셀,26.4,20231201,11563.08,20231214,11097.76,20일선이탈,9,-4.02,False
317330,덕산테코피아,25.56,20231205,19098.12,20231227,18472.98,20일선이탈,15,-3.27,False
064260,다날,7.16,20231208,5080.14,,,,13,-8.17,True
036540,SFA반도체,81.08,20231213,6803.58,,,,10,-11.37,True
365340,성일하이텍,12.19,20231215,110320.2,,,,8,-1.11,True
028300,HLB,12.11,20231215,40480.8,,,,8,25.24,True
